site,block,treatment,year,ev.blade,ev.litter,ev.infl,ev.rhizome,ev.roots,ev.dead.sheath,ev.decomp.sheath,ev.tussockom,cb.blade,cb.litter,cb.sheath,cb.infl,cb.rhizome,cb.liveroots,cb.deadroots,bn.leaves,bn.newstems,bn.oldstem,bn.below,bn.infl,sp.newstem,sp.leaves,sp.oldstem,vv.newgrowth,vv.oldgrowth,vv.infl,ct.newgrowth,ct.oldgrowth,ct.dead,ap.newgrowth,ap.oldgrowth,lp.newgrowth.leaves,lp.newgrowth.stems,lp.oldgrowth.leaves,lp.oldgrowth.stems,lp.dead,lp.infl,lp.below,rc.above,rc.litter,rc.below,rc.infl,pf.above,pf.below,pf.litter,fine.roots,coarse.roots,moss ,lichen,fungi,evergr.litter,decid.litter
S,0,C,2018,0.1,1.5,0,0,0,0,34.4,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7,0,0,0,0,0,0,4.4,0.9,7.6,22.9,1.2,1.3,0,2.3,2.1,0.7,0,0,0,0,33.8,11.8,54.1,0,0,0,1.2
S,1,C,2018,3.9,15.7,0,0,0,82.8,54.3,134.7,0,0,0,0,0,0,0,7.5,1.9,29.9,0,2.6,0,0,0,0,1.1,0,0,0,0,0,0,6.7,2.9,3.7,23,0,3.4,0,0,0,0,0,0.4,0,0,19.3,10.5,7.7,0,0,0,2.3
S,2,C,2018,5,61.5,0,0.5,0,31.3,20.6,14,0,0,0,0,0,0,0,3.2,1.9,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1.9,0.4,0,4.6,0,0.8,0,0,0,0,0,0,0,0,1.9,0.2,0.5,0,0,0,1.5
S,3,C,2018,8.6,82.3,0,6,0.9,47.1,8.2,4.8,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.9,3.9,13.6,1.8,0.7,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
S,4,C,2018,1.6,4.5,0,0.7,1.1,0,5,0,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,3.9,2.6,0,0,0,0,0,0,0,11.6,6.9,3.2,1,0.5,31.5,1.6,0,0,0.2
S,0,CX,2018,0.1,2.2,0,1.2,0,0.4,1.4,0.7,0.9,3,0.2,0.1,0.5,0,0,4.6,0,22.6,0,2.3,0,0,0,0.1,1.7,0,0,0,0,0,0,2.8,0.6,6.4,21.6,0.7,0.5,2.3,3,1.7,1.5,0,0,0,0,34.2,50.6,11.4,0,0,0.2,4.1
S,1,CX,2018,2.1,17.3,0.1,0,0,0,49.9,5.7,0,6.7,0,0,0,0,0,4.7,0,29.8,0,0.5,0,0,0,0.7,0.6,0,0,0,0,0,0,1.1,0.3,1,5.2,1.2,0.3,0,0.2,0,0,0,2.9,23.9,4.4,21,15.5,10.7,0,0,0,3
S,2,CX,2018,5,35.3,0.6,2.2,0.4,25.8,221.1,102.6,0.3,0.5,1.6,0,0,0,0,0.1,0,0.1,0,0.2,0,0,0,0.1,0.4,0,0,0,0,0,0,1.9,0.3,7.1,22.7,0,1.7,4.3,0.5,0,0.2,0,0,0,0,6,5.7,3.2,0,0,0,0.5
S,3,CX,2018,0,3.5,0,0,0,0,58.5,42.6,0,0,0,0,0,0,0,2.6,0,9.5,0,0,0,0,0,1.4,0.4,0,0,0,0,0,0,4.4,2.4,0.2,8.2,2.2,0.7,0,1.4,0.7,0.2,0,0,0,0,11.1,24.2,28.5,0,0,0,0
S,4,CX,2018,1.1,5.1,0,0.2,0.3,6.6,2.1,30.6,0,0.1,0,0,0,0,0,1.9,0.1,14.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.8,0.3,10.6,16.8,1,0.6,0,0,0,0,0,0,0,0,0.1,0.5,7.5,0,0,0,0
S,0,N,2018,0.1,5.1,0,0,0,1.7,162.5,112.4,0,0,0,0,0,0,0,4.3,0.5,18,10.1,0.2,0,0,0,0.1,0,0,0,0,0,0,0,1.7,0.7,2.9,12.3,7.2,0.7,0,1.6,0.7,1.6,0.1,0,0,0,26.6,15.6,253.5,0.2,0,0,6.8
S,1,N,2018,1.1,10.9,0.2,5.9,1.2,35,141.8,514.8,0,4.2,0,0,0,0,0,18.8,2.3,74,0,0.8,0,0,0,0.2,0.6,0,0,0,0,0,0,2.4,0.5,5.4,8.8,0.2,0.3,0,2.7,0.8,1.3,0,0,0,0,10.5,15,36.6,0.4,0,0.5,2.2
S,2,N,2018,2.4,23.9,0,0,0,1.4,111.2,0,0.2,1.9,1.1,0,0,0,0,3.1,0.4,17.2,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,3.7,16,0.7,0.5,0,0,0,0,0,0,0,0,8.7,21,51.2,0,0,0,1.6
S,3,N,2018,2.7,46.2,0.2,0.7,0,4.8,82.2,0,0,0,0,0,0,0,0,5.8,0,26.5,6.1,0.6,0,0,0,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0.7,1.2,0,0,0,0.2,0,2.8,0,0.2,2.3,0,1.8,0,0.1,0,0,0,1.1
S,4,N,2018,4.7,47.1,0,0.6,0.1,32.1,0,5.3,0.3,16.4,40.8,0,0.1,0.2,0,3.3,1.1,4.6,0,0.5,0,0,0,0.7,6,0,0,0,0,0,0,1,0.2,3.5,2.6,0.4,0.4,0,1.5,1.9,0.5,0,0.9,0.3,0,0.3,3.9,0,0,0,0.1,0.2
S,0,NP,2018,0.3,0.8,0.1,0,0.5,0,32.4,88.1,0.1,0.4,0,0,0,0,0,8.9,7.7,24,0,0.5,0,0,0,0.1,0.3,0,0,0,0,0,0,0.5,0.1,3.7,5.8,0.1,0.2,0,4,5.9,1.7,0,0,0,0,15.3,22.7,29.5,0,0,0,1.1
S,1,NP,2018,1.1,9.2,0.1,0,0,6,38.8,16.6,0.2,1.3,0,0,0,0,0,1.7,0,8.2,0,0.6,0,0,0,0.6,0.2,0,0,0,0,0,0,10.1,4.2,2.7,21.6,0.2,0.3,0,0.4,0.5,0,0,0.7,0,1.5,25.7,9.7,21.7,0,0,0,1.5
S,2,NP,2018,1.1,13.9,0,2.3,0.7,14,40.9,59.2,1.1,0,0,0,0.1,0,0,13.9,4.6,27,0,0.5,0,0,0,1.5,0.9,0,0,0,0,0,0,4.6,1.7,9,18.3,0,2,0,4.3,0.7,3.2,0,0,0,0,38.8,24.2,6.8,0,0,0,3.7
S,3,NP,2018,1.2,1.3,0,0.2,0,0.8,0.9,0,0.2,1.2,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,3.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,2.1,0,7.3,0,0,0,0.1
S,4,NP,2018,0.1,2,0,0,0,15.6,0,0,0.3,0,0,0,10.8,0,0,8.3,1.5,33.7,0,0.7,2.5,6.7,14.7,1.5,0.6,0,0,0,0,0,0,0.9,0.2,2.9,8.6,0,0.1,0.1,6.8,0,2.9,0,0,0,0,40.3,42.5,25.8,0,0,0.4,4.5
S,0,P,2018,0.8,8.1,0.1,0,0,0.3,0.1,1.1,0,0.4,0,0,0.2,0,0,0.5,0,2.8,0,0,0,0,0,0.1,0.9,0,0,0,0,0,0,1,0.1,2,2.2,0.9,0.1,0,0,0,0,0,1.3,3.5,0.6,2,1.7,15.3,0,0,0,0.2
S,1,P,2018,5.8,57.2,0,0.4,0,16.1,36.9,163.7,0,0,0,0,0,0,0,1.5,0.4,3.4,0,0,0,0,0,0.9,0.5,0,0,0,0,0,0,1.4,0.3,4.2,9.6,0.8,0.1,0,0,0,0,0,0.5,0.9,0,4.7,1.1,0.6,0,0,0,1.4
S,2,P,2018,2,9.6,0.1,4.2,3.1,34.6,64.8,158.8,0,5,0,0,0,0,0,13.6,9.7,44.3,0,0.7,0,0,0,3,0.5,0,0,0,0,0,0,1.3,0.3,2.8,7.2,0,0.1,0,0.7,0,0,0,1.2,0.5,0,9.5,5.6,33.2,0,0,0,0
S,3,P,2018,1.2,33.6,0.2,0.3,0,1.8,28.1,100.2,0,4.5,0,0,0,0,0,2.2,0.7,3.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.5,0.6,0.1,0,0,0.5,0,0,0,0,0,0,8.3,15.3,1.4,0,0,0,2.2
S,4,P,2018,8.7,53.2,0,4.2,3.5,59.3,91.8,135.6,0,0,0,0,0,0,0,1.6,0.3,2.9,0,0,0,0,0,1.3,0.3,0,0,0,0,0,0,0.8,0.3,2.6,3.8,0,0.6,0,0.1,0,0,0,0,0,0,0,2.3,0.6,0,0,0,0
U,0,C,2018,0.1,0.3,0,0,0,0,0,0,1.7,3.4,23.2,0,18.3,0,3.7,0.9,0,7.2,0,0,0,0,0,1.1,0.9,0,0.1,1.4,0,0.3,0.1,1.2,0.3,3.6,10.3,0.6,0.1,0,0.2,0,0,0,0,0,0,26.1,13.9,80.8,7.8,2.4,0.2,0.7
U,1,C,2018,0,0,0,0,0,0,36.2,14.2,0.6,1.1,0,0,15.3,0,0,2.6,0.4,5.6,0.7,0.1,0,0,0,2.4,5.5,0,0.7,3.1,0,0,0,3.9,0.2,5.6,13.4,0,0.7,0,1.1,0,0,0,0,0,0,41.7,20.9,88,5,9.6,0,0.4
U,2,C,2018,2.3,2.5,0,13.7,3.7,6.6,96.8,198.7,0.5,1.9,0,0.2,0,0,0,1.6,0,1.8,0,0,0,0,0,2,3.2,0,0.1,0.1,0,0,0,0.4,0.1,3.2,6.6,0.3,0.1,0,0.1,0,1.2,0,0.1,0,0,33.9,17.2,33.8,1.9,14.6,0,1.2
U,3,C,2018,7.4,43.1,0.3,9.7,2.9,5.8,47.7,84.7,0,0,0,0,0,0,0,0.7,0.1,1.6,0,0,0,0,0,0.1,2.1,0,1.3,7.7,0,0,0,5.1,1.5,0,6.2,0.3,0.1,0,0.1,0.1,0.2,0,0.1,0,0,13,0,136.2,2.4,0.3,0,0
U,4,C,2018,10.3,16.7,0.3,20.1,4.8,128.1,56.1,331.1,0,0,0,0,0,0,0,1.9,0,4.1,0,0,0,0,0,1.3,2.3,0,0,0,0,0,0,1.7,0.1,3.8,11,0,1,0,0,0,0,0,0,0,0,3.8,0,7.5,0,0,0,0
U,0,CX,2018,0.1,0.1,0,4.4,0,0.7,2.9,0,0,0,0,0,0,0,0,1.3,0,3.7,0,0,0,0,0,3.3,2.1,0,0.4,2.1,0,0,0,2.5,0.4,4.3,7.3,0,0.5,2.2,1.3,2.1,1.1,0,0,0,0,38.1,8.6,235.2,4.3,0,0,0
U,1,CX,2018,3,29.6,0.5,4,2.7,111.6,110,313.4,0,0,0,0,0,0,0,0.5,0,0.9,0,0,0,0,0,3.5,0,0,0,0,0,0,0,8.5,2.9,0.2,12.4,0.3,0.3,0,0,0,0,0,0,0,0,13.3,11,0.6,0,0,0,0
U,2,CX,2018,0.2,1.6,0,0.7,0,5.4,4.8,0,0,0,0,0,0,0,0,2,0.1,12,0,0,0,0,0,0.3,2.1,0,0,0,0.1,0,0,5.6,1.1,1.5,13.5,0.9,0.5,1.1,0.2,0.3,0.2,0,0,0,0,17,5.9,55.9,2.9,2.4,0.2,1
U,3,CX,2018,0.4,1.4,0,0.5,0.2,12.4,0,1.1,0,0,0,0,0,0,0,1.6,8.2,0,0,0,0,0,0,0.7,0.6,0,0.8,2.6,0,0,0,8.1,3.3,0,1.3,0,0.7,0,0.2,0,0,0,0,0,0,25.1,0,516.3,3.4,3.6,0,1.1
U,4,CX,2018,0.4,0.9,0,0.9,0.5,3,31.9,25.9,0,0.3,2,0,0,0,0,1.3,0,6.2,14.7,0,0,0,0,3.1,3.5,0,0.2,0.5,0,0,0,4,1,4.7,27.7,0.4,0.2,0,0.3,0,0.2,0,0,0,0,19.8,17.6,44.3,4.3,3,0,1.1
U,0,N,2018,1.4,4.7,0,0.1,0,0,67.2,3.4,2.2,3.3,2.5,0.2,0.7,0,1,1,0.5,1.8,1.8,0.1,0,0,0,2.6,2.3,0,0.6,2,0,0,0,5.1,0.6,3,15.4,0.6,0,4,0,0,0,0,0,0,0,24.6,33.1,73.1,21.9,0,0,2.6
U,1,N,2018,10.6,16.2,0,12.3,2.6,68.3,80.6,158.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,6.5,0,0.5,3.6,0,0,0,4.3,1.3,0.9,7,0.6,0.3,2.8,0,0,0,0,0,0,0,9.4,5.1,25,2.4,0,0,0
U,2,N,2018,0.3,0.1,0,0.3,0,3.2,57.7,67.8,1.2,1.1,0,0,0.8,0,0,2.7,0.8,15.5,4.5,0,0,0,0,0.6,3.2,0,0,0.6,0,0,0.8,0.7,0.1,3.4,9.7,0.4,0.1,0,1.7,0.8,0.5,0,0,0,0,53.3,47,121.1,3.3,0,0,1.8
U,3,N,2018,1.4,3.6,0,1.8,2.1,58,147.7,203.2,0,0,0,0,0,0,0,0.7,0.3,1.2,1.5,0,0,0,0,0.3,2.9,0,0,0,0.3,0,0,3.5,0.1,8.1,29.8,0,0.9,25.1,0.6,0.2,0.2,0,0,0,0,9.4,14.1,15.1,1.9,0,0.2,0.2
U,4,N,2018,0.3,1,0,2.7,0.6,2.2,35.1,10.2,0.5,0,0.6,0,0.8,0,0,1.8,0.2,10.7,6.8,0,0,0,0,0.1,2.8,0,0.9,1,3.5,0,0,0.4,0.1,2.6,5.3,0.1,0.1,3.3,1.6,0.6,1.9,0,0,0,0,18.1,32.4,85.8,6.1,0,0.9,1.5
U,0,NP,2018,4.8,18.1,0.1,0,2.2,99.1,74.3,112.2,0.3,0,0,0,0,0,0,2.3,1.3,5.9,0,0,0,0,0,2.8,6.3,0.2,2,3.8,1.2,0,0,5,1.6,6.4,17.5,0.7,0.6,3.5,0,0,0,0,0,0,0,14.2,4.4,23.5,3.2,0.7,0,0
U,1,NP,2018,0.4,1.4,0,1.4,0.1,2.6,17.7,15.2,0.4,0,0,0.1,0,0,0,2.6,0.6,6.4,0,0,0,0,0,0.3,3,0,0.7,2.7,0,0,0,1.7,0.3,6.7,16,1.2,0.5,4.2,0,0,0,0,0,0,0,27.2,9.6,16.4,19.6,10.5,0,1.2
U,2,NP,2018,5.1,35.3,0.2,0.3,0.3,7.8,66.8,173,0.1,0.5,0,0.3,0,0,0,3.2,1.1,6.4,0,0.1,0,0,0,0.5,3.4,0,0,0,0,0,0,2.5,0.5,13.1,40.7,1.1,0.7,3.5,0,0,0,0,0,0,0,9.7,10.8,2.2,1.4,0,1,1.3
U,3,NP,2018,5.7,9.2,0,1,4.7,29.1,0,34.6,0.3,0.1,0,0,0,0,0,6.2,4.8,8.4,0,0.1,0,0,0,0.5,2.7,0,0,0.4,0.1,0,0,1.9,0.2,7.2,16.8,0.6,0.3,0.2,0,0,0,0,0.8,0.4,0,11.3,2.8,39,0,0.9,0.8,0.8
U,4,NP,2018,0.5,1.1,0,0,0,0.9,0,0,0,0.2,0,0,0,0,0,2,0.6,6,0,0,0,0,0,1.8,0.7,0,0.5,1.1,4.2,0.1,0.1,7.3,2.1,17.9,21.1,7.9,1.2,2,2.4,0,0.6,0.1,0,0,0,27.4,37.8,137.2,1.9,0.9,0,2.8
U,0,P,2018,2.5,5.9,0,3.2,1.4,18.6,49.4,67.4,0,0.1,0,0,0,0,0,1.5,1.1,2.8,0,0,0,0,0,2.6,2.4,0,0.1,0.1,0,0,0,4.5,1.6,0,6,0,0.3,3.7,0.1,0.3,0,0,0,0,0,12.4,3.2,54.9,1.6,1.7,0,0.2
U,1,P,2018,0.9,4.8,0,0.8,0.1,6.3,26,8.8,0,0.4,0.6,0,0.8,0,0,1.6,0.1,6.7,0.5,0,0,0,0,0.2,2.3,0.1,0,0,0,0,0,0.6,0.1,3.2,12.8,0.6,0.1,2.9,0,0.2,0.1,0,0,0,0,15.1,5.5,55.5,10.6,5,1.9,3.7
U,2,P,2018,0,0,0,0,0,0,15.1,8.7,0.1,0.9,1.9,0,0.6,0,0,1,0.1,4,1.4,0,0,0,0,1.8,10.1,1.2,1.7,1.3,0,0.2,0.3,3.5,0.7,1.3,7.6,1,0.1,2.3,1.7,0.9,1.4,0,0,0,0,44.2,0,279.8,0,0,0,0
U,3,P,2018,10.6,8.7,0.5,8.6,0,116.2,26.7,424.7,0,0.3,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,4.5,1.4,0,0.4,2.1,0,0,0,5.2,1.7,0,8.6,0,0.1,0.7,0,0,0,0,0,0,0,17.1,4.4,11.4,1.3,12.3,0,0
U,4,P,2018,4.7,8,0,6.6,1.4,19.7,0,17.9,0,0.3,0,0,0.2,0,0,1.1,0,1.8,0.3,0.3,0,0,0,1.1,1.2,0,0,0,0,0,0,0.1,0.1,2.3,8.3,0,0.7,0.3,0,0,0,0,0,0,0,4.6,0,63.2,1.5,0,0.4,0