NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,,,,,,1,,,,2,,,,1,,,,,,2,,,,,,,,,1,,,,3,,,,,2
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,3,5,6,5,,1,6,4,3,5,3,17,6,1,9,7,5,6,9,7,10,3,5,9,13,1,7,13,7,4,3,1,5,4,5,5,7,4,2,3,
8,LEDPAL,1,,,9,2,6,6,,,,,,,,2,5,1,,,5,10,,6,14,,7,4,7,4,3,,,1,3,,,,,9,5,1
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,VACVIT,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,6,,,1,,,,,,1,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,,5,,,,3,,,3,2,,4,,2,4,,3,,,7,6,,,,4,5,,2,6,4,,,2,2,5,,2,1,4,,
17,LITTER,1,1,,1,,1,1,,1,,,1,1,,,1,1,1,,1,,1,1,1,,,1,1,,,,1,,,,1,,,,,
18,TUSSOCK,1,1,1,1,1,1,1,1,,1,,1,,,1,,,,1,,1,,,,1,1,,,1,1,1,,1,1,1,,1,1,1,1,
19,MOSS,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,,,,,1
20,LICHEN,,,,,,1,,,,,,,,1,,1,,,1,1,1,1,,,,,1,,,,,,,,,,,1,1,,1
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
24,MAX,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
25,MAXSPP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,GROUND,52,59,55,53,51,57,60,47,59,50,59,56,52,58,55,60,59,59,56,60,52,57,59,58,40,58,52,60,34,36,41,54,42,30,37,52,42,40,44,66,49
27,CANOPY,20,21,18,25,17,21,27,10,26,19,20,26,12,22,27,31,25,18,25,11,31,29,22,31,23,33,22,16,21,16,12,19,20,21,22,26,18,21,23,49,13
28,SPP,7,7,7,7,10,7,7,7,16,16,7,7,7,3,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,10,5,7,7,7,7,7,7,7,7,5